name;year;rating;image url;sofware;deposits;withdrawal;language;licence;currencies;crypto
123Spins Casino;2017;7,17;https://www.askgamblers.com/uploads/casino_logos_overview/other/6d/3f/06/fda9fd9324f4c164b0ad8b23129bd7b615/123-spins-casino-logo.png;Microgaming, NetEnt, Big Time Gaming;Maestro, MasterCard, PayPal, Paysafe Card, Visa, Pay by Phone;Bank Wire Transfer, MasterCard, PayPal, Paysafe Card, Visa, Mobile Phone;English;Alderney Gambling Control Commission, UK Gambling Commission;GBP;
18Bet Casino;2012;6,74;https://www.askgamblers.com/uploads/casino_logos_overview/other/de/b7/75/148e72685a4e20954ab49e0a754faee7f0/18bet-casino.png;Microgaming, Endorphina, GameArt;Bank Wire Transfer, MasterCard, Neteller, Paysafe Card, Visa, Entropay, Skrill;Bank Wire Transfer, Neteller, Visa, Skrill;English, German;Malta Gaming Authority;EUR, USD, JPY, GBP, AUD, CHF, CNY, HKD, KRW, SGD, RUB, NOK, MXN, VNC, THB, RON, PLZ, MYR, ILS, DKK, CZK, BND;
1xslots Casino;2017;7,8;https://www.askgamblers.com/uploads/casino_logos_overview/other/d3/f3/ee/796fe4cc081ee470413ac5962934a8ea3b/1xslot-casino-logo.png;"RTG, Microgaming, NetEnt, Rival, Betsoft, Play&#039;n GO, NextGen Gaming, 1x2Games, iSoftBet, PariPlay, BGAMING, Playson, Thunderkick, EGT Interactive, Wazdan, Big Time Gaming, Elk Studios, Endorphina, GameArt, PlayPearls, Booming Games, Habanero, Evoplay Entertainment, Gameplay Interactive, Genii, Pragmatic Play, Nolimit City, Red Tiger Gaming, Mr. Slotty, Join Games, Red Rake Gaming, Tom Horn Gaming, Felix Gaming, Booongo Gaming, Magnet Gaming, Belatra, Iron Dog Studios, Fugaso, Spinomenal, TopTrend, Gamevy";ATM Online, Bank Wire Transfer, Cash Card, EcoPayz, Maestro, MasterCard, Neteller, Paysafe Card, Postepay, Visa, Entropay, iDEAL, Sofortuberweisung, Nordea, GiroPay, Dankort, Boleto, CartaSi, Envoy, ePay.bg, Euteller, Lobanet, Neosurf, Bancontact/Mister Cash, Fast Bank Transfer, DineroMail, QIWI, Santander, UnionPay, Trustly, Voucher, Skrill, AstroPay Card, Bitcoin, TrustPay, SafetyPay, Promsvyazbank, Sberbank Online, Litecoin, Dogecoin, Dash, Payeer, AstroPay Direct, Scotiabank, MoneySafe, Megafone, MTC, mobile payment, ePay, Pago Efectivo, PayKasa, Otopay, Tele2, Flexepin, Monero, Jeton, PaySec, Ethereum, Alfa Click, Moneta;ATM Online, Maestro, MasterCard, Neteller, Paysafe Card, Visa, EcoPayz, Moneta.ru, Instant Banking, Fast Bank Transfer, QIWI, UnionPay, Skrill, AstroPay Card, Bitcoin, Litecoin, Trustly, WebMoney, Yandex Money, Perfect Money, Wallet One, Dash, Payeer, eMoney Safe, Sepa, Vimo Wallet, Beeline, Megafon, Tele2, LifeCell, ECOBANQ, Monero, Ethereum, Ethereum;Arabic, Bulgarian, Chinese, Croatian, Czech, Danish, Dutch, English, Finnish, German, Hindi, Hungarian, Italian, Japanese, Korean, Latvian, Norwegian, Polish, Portuguese, Serbian, Spanish, Thai, Ukrainian, Vietnamese, French, Greek, Romanian, Russian, Turkish, Slovenian, Georgian, Macedonian;Curacao;AOA, BHD, EUR, USD, AUD, CHF, CAD, CNY, HKD, KRW, ZAR, TRY, SGD, RUB, INR, BRL, ZMW, VES, UZS, UYU, UAH, TZS, TND, THB, SDG, SAR, RWF, RSD, RON, PYG, PLZ, PEN, OMR, NGN, MZN, MAD, KZT, KWD, KHR, KES, JOD, ISK, IRR, ILS, IDR, HUF, HRK, GHS, GEL, ETB, EGP, DZD, DKK, CZK, COP, CLP, BYN, BWP, BOB, BGN, BDT, BAM, AZN, ARS, AMD, ALL, AED;DASH, DOGE
21 Casino;2015;8,25;https://www.askgamblers.com/uploads/casino_logos_overview/other/5e/80/63/d1b31b85dd18ffed79b38cb6d93adab498/21-casino.png;"Microgaming, NetEnt, Evolution Gaming, Nyx Interactive, NextGen Gaming, 1x2Games, Blueprint Gaming, Genesis Gaming, Leander Games, Quickspin, Merkur Gaming, Thunderkick, 2 By 2 Gaming, Big Time Gaming, Games Warehouse, Elk Studios, Lightning Box, Multicommerce Game Studio, Stakelogic, Foxium, Adoptit Publishing, Asylum Labs, Barcrest Games, Betdigital, BlaBlaBla Studios, Bulletproof Games, Cayetano Gaming, Chance Interactive, Concept Gaming, Fantasma Games, Felt Gaming, Fuga Gaming, Inspired, Just For The Win, Kalamba Games, Live 5 Gaming, Magic Dreams, MetaGU, Old Skool Studios, Play&#039;n GO, Probability, Push Gaming, Rabcat, Realistic Games, Red7 Mobile, Red Tiger Gaming, Reflex Gaming, SG Gaming, Seven Deuce Gaming, Shuffle Master, Sigma Games, Spieldev, Spike Games, Sthlm Gaming, Storm Gaming, SUNFOX Games, Touchstone Games, Wild Streak Gaming, WMS, YoloPlay, Wazdan";Bank Wire Transfer, Boku, Sofortuberweisung, Finnish ebank, Maestro, MasterCard, Skrill, Neteller, Paysafe Card, Trustly, Visa, Entropay, Interac, PayPal;Maestro, MasterCard, Neteller, Visa, Skrill, PayPal, Trustly, Bank Wire Transfer;English, Finnish, German, Norwegian, Swedish;Malta Gaming Authority, UK Gambling Commission, Swedish Gambling Authority;EUR, GBP, CAD, SEK, ZAR, NOK;
21 Dukes Casino;2008;7,72;https://www.askgamblers.com/uploads/casino_logos_overview/other/7e/79/f2/67d4d871f74c77d7af133082f7c266f818/21-dukes-casino-2.png;Microgaming, Parlay, Rival, Betsoft, IGT (WagerWorks), Visionary iGaming, VIVO Gaming, Habanero, Pragmatic Play;American Express, Bank Wire Transfer, EcoPayz, MasterCard, Money Transfer, Neteller, Paysafe Card, Visa, Entropay, iDEAL, Sofortuberweisung, POLi, Neosurf, QIWI, Skrill, AstroPay Card, Bitcoin, WebMoney, AstroPay Direct, Easy EFT, UPayCard, Flexepin, Cashlib;Bank Wire Transfer, Money Transfer, Neteller, EcoPayz, Skrill, Bitcoin, Ethereum;English, German, Portuguese, Spanish, French;Costa Rica;EUR, USD, GBP, AUD, CAD, ZAR, BRL, TND, ARS;
21 Prive Casino;2014;8,86;https://www.askgamblers.com/uploads/casino_logos_overview/other/f2/3c/a9/7844ffe3eb949f8ce0ac5046fd42a54827/21-prive-casino-2.png;"Microgaming, NetEnt, Evolution Gaming, Betsoft, Nyx Interactive, NextGen Gaming, 1x2Games, Aristocrat, Leander Games, Amaya (Chartwell), Igaming2go, Ezugi, Thunderkick, 2 By 2 Gaming, White Hat Gaming, High5Games, Multicommerce Game Studio, Red Tiger Gaming, Play&#039;n GO, Big Time Gaming, Elk Studios, SG Gaming, Barcrest Games, Fantasma Games, Nolimit City, Push Gaming, Inspired, Relax Gaming, Skywind Group, Snowborn Games, Eyecon, Wazdan, Kalamba Games, Lightning Box, Crazy Tooth Studio, Northern Lights Gaming, AGS, Quickspin, Probability, Realistic Games, Shuffle Master, Just For The Win, Revolver Gaming, Rabcat, WMS, Hacksaw Gaming, Core Gaming, Sthlm Gaming, Ainsworth Gaming Technology, Red7 Mobile, Magic Dreams, Bulletproof Games, Chance Interactive, Bally, Foxium, MetaGU, Games Lab, Asylum Labs, Live 5 Gaming, The Games Company, Cayetano Gaming, Electric Elephant, Fuga Gaming, Storm Gaming, ReelNRG Gaming, Betdigital, Reflex Gaming, Seven Deuce Gaming, Adoptit Publishing, Concept Gaming, Touchstone Games, Wild Streak Gaming, YoloPlay, Old Skool Studios, BlaBlaBla Studios, SUNFOX Games, Spieldev, Games Warehouse, Skillzzgaming, Sigma Games, Genesis Gaming, 4ThePlayer, Felt Gaming";MasterCard, Neteller, Paysafe Card, Visa, Sofortuberweisung, EPS, Skrill, SafetyPay, Maestro, Trustly, Rapid Transfer, PayPal, Boku, Interac, E-banking, Entropay, Bank Wire Transfer;Visa, MasterCard, Trustly, Skrill, Neteller, Bank Wire Transfer, Rapid Transfer, PayPal, Paysafe Card, Maestro;English, Swedish, German, Finnish, Norwegian;UK Gambling Commission, Swedish Gambling Authority, Malta Gaming Authority;EUR, GBP, CAD, NZD, SEK, NOK;
22bet Casino;2018;6,11;https://www.askgamblers.com/uploads/casino_logos_overview/other/df/8e/87/4f891b1c03130d6af039238c7e0ff66c6b/22bet-casino-logo.png;Microgaming, NetEnt, Rival, Betsoft, NextGen Gaming, 1x2Games, PariPlay, Oryx Gaming, Quickspin, OMI Gaming, Multislot, BGAMING, Playson, Thunderkick, EGT Interactive, Betdigital, Wazdan, Big Time Gaming, Elk Studios, Endorphina, Casino Technology, Lightning Box, GameArt, PlayPearls, Booming Games, ZEUS PLAY, Habanero, Gameplay Interactive, Xplosive, Pragmatic Play, Nolimit City, Red Tiger Gaming, Mr. Slotty, Noble Gaming, Join Games, Inbet Games, Red Rake Gaming, Tom Horn Gaming, Felix Gaming, Spigo, Booongo Gaming, Belatra, Iron Dog Studios, Side City Studios, Fugaso, Spinomenal, TopTrend, Platipus Gaming, Gamevy, Evoplay Entertainment;ATM Online, BPay, Bank Wire Transfer, EcoPayz, Maestro, MasterCard, Neteller, Paysafe Card, Postepay, Visa, Entropay, Sofortuberweisung, Nordea, GiroPay, EPS, Dankort, Boleto, CartaSi, Moneta, ePay.bg, Euteller, Neosurf, Teleingreso, Multibanco, Fast Bank Transfer, DineroMail, QIWI, UnionPay, Trustly, Skrill, AstroPay Card, Bitcoin, Siru Mobile, PAGOFACIL, Skrill 1-Tap, Boku, WebMoney, Yandex Money, EnterCash, Sberbank Online, Litecoin, Dogecoin, Dash, Payeer, Quick Pay, AstroPay Direct, Bradesco, Perfect Money, Megafone, Svyazno, Euroset, ePay, CEP Bank, Pago Efectivo, Tele2, Monero, PaySec, Ethereum, Bitcoin Cash, Bitcoin Gold, Alfa Click, Beeline, Instant Bank Transfer;BPay, Maestro, MasterCard, Neteller, Paysafe Card, Visa, Entropay, EcoPayz, Moneta.ru, Fast Bank Transfer, QIWI, UnionPay, Skrill, AstroPay Card, Bitcoin, Trustly, WebMoney, Yandex Money, Perfect Money, Dogecoin, Payeer, eMoney Safe, Sepa, Beeline, Megafon, Tele2, ECOBANQ, Monero, Entercash, Ethereum, Bitcoin Cash, Steam, Instant Bank Transfer;Albanian, Bulgarian, Chinese, Croatian, Czech, Danish, Dutch, English, Estonian, Finnish, German, Hebrew, Hindi, Hungarian, Indonesian, Italian, Japanese, Korean, Latvian, Norwegian, Polish, Portuguese, Serbian, Spanish, Thai, Vietnamese, French, Greek, Russian, Turkish, Austrian German, Georgian, Macedonian, Kazakh, Taiwanese, Azerbaijani;Curacao;AOA, BHD, EUR, USD, AUD, CHF, CAD, CNY, HKD, KRW, ZAR, TRY, SGD, RUB, INR, BRL, ZMW, VES, UZS, UYU, UAH, TZS, TND, THB, SDG, SAR, RWF, RSD, RON, PYG, PLZ, PEN, OMR, NGN, MZN, MAD, KZT, KWD, KHR, KES, JOD, ISK, IRR, ILS, IDR, HUF, HRK, GHS, GEL, ETB, EGP, DZD, DKK, CZK, COP, CLP, BYN, BWP, BOB, BGN, BDT, BAM, AZN, ARS, AMD, ALL, AED;DASH, DOGE
22betUK Casino;2017;7,49;https://www.askgamblers.com/uploads/casino_logos_overview/casinoreview_logo/f2/53/d9/f18a357197d88fbb781a5e8237d0714bc1/22betuk-casino-logo.png;"Big Time Gaming, Blueprint Gaming, Elk Studios, Evolution Gaming, High5Games, Lightning Box, NetEnt, NextGen Gaming, Nyx Interactive, Play&#039;n GO, Quickspin, iSoftBet, Realistic Games, Thunderkick, Iron Dog Studios";Visa, MasterCard, Skrill, Neteller, Paysafe Card, EcoPayz;Visa, MasterCard, Paysafe Card, Skrill, Neteller, EcoPayz, Bank Wire Transfer;English;UK Gambling Commission;EUR, GBP;
24Bettle Casino;2016;5,89;https://www.askgamblers.com/uploads/casino_logos_overview/other/e3/bc/92/42ed88c33087e156d17e28d2bf33256789/24bettle-casino-2.png;NetEnt, iSoftBet, Quickspin, Elk Studios, Merkur Gaming, Booming Games, Pragmatic Play, Kalamba Games, Gamomat, Betsoft, Just For The Win, Microgaming, Wazdan, 2 By 2 Gaming, Crazy Tooth Studio, Rabcat, Hacksaw Gaming, Red Tiger Gaming, Thunderkick, Realistic Games, Gamevy;Euteller, EnterCash, MasterCard, Visa, Neteller, Paysafe Card, Skrill, Trustly, Bank Wire Transfer, Zimpler, Sofortuberweisung, SafetyPay, Bancontact/Mister Cash, GiroPay, Przelewy24, Multibanco, AstroPay Card, EcoPayz, QIWI, MoviiRed, Boleto Flash;Bank Wire Transfer, Neteller, Skrill, EcoPayz, Trustly, AstroPay Card, MoviiRed, Boleto Flash, QIWI;English, Finnish, German, Norwegian, Russian;Malta Gaming Authority;EUR, CAD, NOK;
24kCasino;2019;7,81;https://www.askgamblers.com/uploads/casino_logos_overview/other/00/d9/7a/0e00e2fff6c6f8683674aca3443fa03972/24kcasino-casino-logo.png;Pragmatic Play, Tom Horn Gaming, Microgaming, Playson, Mr. Slotty, Booming Games, World Match, Habanero, iSoftBet, Amatic Industries, GameArt, 2 By 2 Gaming, Electric Elephant, Spinomenal, Just For The Win, Lightning Box, Big Time Gaming, Quickspin, Ainsworth Gaming Technology, Betsoft, Octavian Gaming, Yggdrasil Gaming, Ezugi, Evolution Gaming;Visa, MasterCard, EcoPayz, Skrill, Bitcoin, Litecoin, Neteller;Visa, MasterCard, EcoPayz, Skrill, Bitcoin, Litecoin, Neteller, Bank Wire Transfer;English, Spanish, Russian, Finnish, Norwegian, Portuguese;Curacao;EUR, USD, CAD, DKK;
